iter	RMSE
217	0.148530875
218	0.1483255883
219	0.1482213092
220	0.1480183781
221	0.1479126342
222	0.1478171745
223	0.1477263768
224	0.1476580126
225	0.1475759688
226	0.1473749195
227	0.1472298108
228	0.1471230023
229	0.1469300794
230	0.1468765148
231	0.1467101539
232	0.1466257884
233	0.1464884659
234	0.146433665
235	0.1463492336
236	0.1461897205
237	0.1460012353
238	0.1458469049
239	0.1457658681
240	0.1456373525
241	0.1454712819
242	0.1453942965
243	0.1453415749
244	0.1452344097
245	0.1450599832
246	0.1450064696
247	0.1449095186
248	0.1447538597
249	0.1446811397
250	0.1446286395
251	0.1444801254
252	0.1443144857
253	0.1441586072
254	0.1441070603
255	0.1439451926
256	0.1438132259
257	0.1437357531
258	0.1436844982
259	0.143533462
260	0.1433542227
261	0.1432473857
262	0.1432008446
263	0.1430561725
264	0.1429603633
265	0.1428582681
266	0.1427885895
267	0.1427422905
268	0.1425715578
269	0.1424554782
270	0.1423132654
271	0.142180225
272	0.1421161187
273	0.1420436339
274	0.1419966892
275	0.1418671858
276	0.14169794
277	0.1415578225
278	0.1414118343
279	0.1413117306
280	0.141194186
281	0.1411296088
282	0.1409785076
283	0.1409301186
284	0.1407902781
285	0.1406470621
286	0.1405992813
287	0.1404755498
288	0.1403477088
289	0.1402282958
290	0.140158028
291	0.1400746144
292	0.140027211
293	0.1398835834
294	0.1397477392
295	0.1396511994
296	0.1396060142
297	0.1394790852
298	0.139432584
299	0.1393865719
300	0.139287239
301	0.1392191174
302	0.1390792674
303	0.1389437593
304	0.1388334936
305	0.1387013861
306	0.1386555482
307	0.1384853592
308	0.1383668179
309	0.1382487507
310	0.1381875205
311	0.1381421685
312	0.1379991946
313	0.1379237935
314	0.137798292
315	0.1376752577
316	0.1376305119
317	0.1375276738
318	0.1374064565
319	0.1373220595
320	0.1372136025
321	0.1371250003
322	0.1370806863
323	0.1370193649
324	0.136918796
325	0.1368020238
326	0.13668753
327	0.1366468365
328	0.1365621791
329	0.1364488305
330	0.1363915071
331	0.1363477543
332	0.1363043343
333	0.1362416029
334	0.1361455851
335	0.1360825869
336	0.1360397521
337	0.1360002744
338	0.1358668404
339	0.1357502165
340	0.1356327465
341	0.1355730517
342	0.1355305036
343	0.1354545284
344	0.1353725477
345	0.1353303935
346	0.1352343294
347	0.135102693
348	0.1349854447
349	0.1348734024
350	0.134762027
351	0.1347201438
352	0.1346362152
353	0.1345947923
354	0.1345337381
355	0.1344288579
356	0.1343076817
357	0.1342335416
358	0.1341215887
359	0.1340818228
360	0.1340409891
361	0.1339812421
362	0.1339019019
363	0.1338644633
364	0.1337675681
365	0.1337274146
366	0.1336596986
367	0.1335525508
368	0.1334400368
369	0.1333570107
370	0.1332523037
371	0.1331712793
372	0.1330565047
373	0.13299628
374	0.1329403418
375	0.1329043905
376	0.132801988
377	0.1326772781
378	0.1325977806
379	0.1324863436
380	0.1324020541
381	0.1322857466
382	0.1322005834
383	0.1321276014
384	0.1320683146
385	0.1320305652
386	0.1319916068
387	0.1318864191
388	0.1318477271
389	0.1317365069
390	0.1316439955
391	0.1316054869
392	0.1315701202
393	0.1315336577
394	0.1314765201
395	0.1313730762
396	0.1313140643
397	0.1312010605
398	0.131098335
399	0.1310605561
400	0.1310048389
401	0.1309672653
402	0.1308277779
403	0.1307197637
404	0.1306831121
405	0.1306202156
406	0.1305849382
407	0.1304888203
408	0.1303829708
409	0.1303145486
410	0.1302096707
411	0.130172647
412	0.1300840465
413	0.1299618734
414	0.1298753147
415	0.1297965322
416	0.1297597291
417	0.1297019274
418	0.1295914083
419	0.1295593965
420	0.1294585652
421	0.1294026169
422	0.1293661308
423	0.1292673754
424	0.1292169395
425	0.1291826003
426	0.1291478431
427	0.1290742177
428	0.1289891289
429	0.1288878899
430	0.1287917426
431	0.128757637
432	0.1287232253
433	0.1286695125
434	0.1285447904
435	0.1284452926
436	0.128368311
437	0.1283077166
438	0.1282426777
439	0.1281568173
440	0.1281067884
441	0.1280547804
442	0.1280191297
443	0.1279495209
444	0.1278560814
445	0.1278221094
446	0.1277168403
447	0.1276818937
448	0.127647197
449	0.1275797272
450	0.127529165
451	0.1274398504
452	0.1274052945
453	0.1273709884
454	0.1273129395
455	0.1272229335
456	0.127188763
457	0.127104096
458	0.1270729119
459	0.1269759811
460	0.1268825332
461	0.1267979313
462	0.1267431125
463	0.1267109464
464	0.1265743498
465	0.1264962085
466	0.1263899394
467	0.1263561532
468	0.1263226829
469	0.1262698863
470	0.1261904268
471	0.1260737921
472	0.1260230637
473	0.1259705208
474	0.1258887364
475	0.1258326978
476	0.1257841794
477	0.1257168882
478	0.1256261084
479	0.12557459
480	0.1255156521
481	0.1254407881
482	0.1253588762
483	0.1252712911
484	0.1252200044
485	0.1251903146
486	0.1251128126
487	0.1249969979
488	0.1249474355
489	0.1249142581
490	0.1248813448
491	0.1248082716
492	0.1247181598
493	0.1246245003
494	0.1245651553
495	0.1245348844
496	0.1244632155
497	0.1243884121
498	0.1243559336
499	0.1243096798
500	0.1242785651
501	0.1242206888
502	0.1241056642
503	0.1240140478
504	0.1238999018
505	0.1238537435
506	0.1238216749
507	0.1237167511
508	0.1236241063
509	0.1235576919
510	0.1235116851
511	0.1234261578
512	0.1233370846
513	0.1232346441
514	0.1232026623
515	0.1231076829
516	0.1230759721
517	0.1229910395
518	0.1229594929
519	0.1228610184
520	0.1227723703
521	0.1227409218
522	0.1226659508
523	0.122583184
524	0.1225414799
525	0.1224838073
526	0.1224559677
527	0.122378323
528	0.1223470276
529	0.1223169136
530	0.1222686761
531	0.1221720887
532	0.122096332
533	0.1220440092
534	0.1220143665
535	0.1219226877
536	0.1218847629
537	0.1218277025
538	0.1217985204
539	0.1217716912
540	0.1216727347
541	0.1215831428
542	0.1215049431
543	0.1214744774
544	0.1214126679
545	0.1213246021
546	0.1212385367
547	0.12119114
548	0.1211627383
549	0.1210869166
550	0.1210387352
551	0.1209588729
552	0.1209296658
553	0.1209012629
554	0.1208760343
555	0.1207892202
556	0.1206975508
557	0.120653789
558	0.1205479823
559	0.1204583314
560	0.1204138533
561	0.1203707278
562	0.1203034607
563	0.1202483126
564	0.1202207304
565	0.1201655566
566	0.1200853626
567	0.1200580818
568	0.1200152326
569	0.1199609435
570	0.1199209032
571	0.1198782422
572	0.1198111824
573	0.1197499276
574	0.1196719442
575	0.1196273274
576	0.1195983692
577	0.1195702953
578	0.119540958
579	0.1194544145
580	0.1193753238
581	0.1192937325
582	0.1192063602
583	0.1191770689
584	0.1191479294
585	0.1190823956
586	0.1190542007
587	0.118998602
588	0.1189198569
589	0.1188792814
590	0.1188386756
591	0.1187663178
592	0.118692245
593	0.1186052439
594	0.1185776044
595	0.1185343252
596	0.1184398663
597	0.1183486706
598	0.1182656943
599	0.1181888055
600	0.1181616465
601	0.1181342836
602	0.1180917659
603	0.1180194456
604	0.1179455822
605	0.11791837
606	0.1178528563
607	0.1178151054
608	0.1177693385
609	0.1177409786
610	0.1177148983
611	0.1176220279
612	0.1175417806
613	0.1174549987
614	0.1174282013
615	0.1174022267
616	0.1173082134
617	0.1172811092
618	0.1172389843
619	0.1171970629
620	0.1171705267
621	0.1171435943
622	0.1171036947
623	0.1170778477
624	0.1169936639
625	0.116928563
626	0.1169018354
627	0.1168604701
628	0.1168349104
629	0.1168094306
630	0.1167541694
631	0.1166948671
632	0.1166520706
633	0.1165769467
634	0.1165010291
635	0.1164198157
636	0.1163522019
637	0.1162971745
638	0.1162335768
639	0.1162062392
640	0.1161598988
641	0.1161217263
642	0.1160954474
643	0.1160231817
644	0.1159469511
645	0.1158860386
646	0.1158083421
647	0.1157731052
648	0.1157474383
649	0.1157203372
650	0.1156455117
651	0.1155685816
652	0.1155322953
653	0.1154674691
654	0.115382512
655	0.1152996178
656	0.115223607
657	0.1151966224
658	0.1151719777
659	0.1151464998
660	0.1150925631
661	0.1150270266
662	0.1149884563
663	0.1149339566
664	0.1148620286
665	0.1148035252
666	0.114734422
667	0.1146657752
668	0.1146407152
669	0.1146026627
670	0.114565768
671	0.1145033726
672	0.1144769054
673	0.1144366881
674	0.1143839665
675	0.1143078217
676	0.1142344422
677	0.1142094252
678	0.1141831067
679	0.1141182381
680	0.1140363789
681	0.1140121349
682	0.1139463419
683	0.1139222263
684	0.1138962952
685	0.1138572601
686	0.1138314269
687	0.1138056407
688	0.1137590174
689	0.113693944
690	0.1136681935
691	0.1135998543
692	0.1135551248
693	0.1135207963
694	0.1134827365
695	0.1134437536
696	0.1133835773
697	0.1133489019
698	0.1133137758
699	0.1132667372
700	0.1132304874
701	0.1131511084
702	0.1131269175
703	0.1130517775
704	0.1130084029
705	0.1129838054
706	0.1129583866
707	0.1129281774
708	0.1129045321
709	0.1128464453
710	0.1128211268
711	0.1127723558
712	0.1127477881
713	0.1126775001
714	0.1126339726
715	0.1126102178
716	0.1125455272
717	0.1124926432
718	0.1124695953
719	0.1124313003
720	0.1123650163
721	0.1123400971
722	0.1122724211
723	0.1122503906
724	0.112220048
725	0.1121877972
726	0.1121382316
727	0.1121134031
728	0.1120901241
729	0.1120258868
730	0.1119609685
731	0.1118943272
732	0.1118218446
733	0.1117727749
734	0.1117512028
735	0.1117165335
736	0.111694875
737	0.1116604599
738	0.1116360262
739	0.111613273
740	0.1115558667
741	0.1115001962
742	0.1114764176
743	0.1114521615
744	0.1113812503
745	0.1113210178
746	0.1112579878
747	0.1112349091
748	0.1111655631
749	0.1111311414
750	0.1110839789
751	0.11105985
752	0.1109912546
753	0.1109237926
754	0.1108907182
755	0.1108260091
756	0.1108021561
757	0.1107358313
758	0.1106609344
759	0.1106375913
760	0.110582757
761	0.1105286959
762	0.1105047577
763	0.1104705371
764	0.1103970104
765	0.110373758
766	0.110350149
767	0.1102853601
768	0.1102627273
769	0.1102399039
770	0.1101940078
771	0.1101222561
772	0.1100590387
773	0.1099821436
774	0.1099370087
775	0.1099135452
776	0.1098796013
777	0.1098137766
778	0.1097524632
779	0.1097017537
780	0.1096783275
781	0.109603167
782	0.1095704621
783	0.1095029815
784	0.1094655193
785	0.1094440788
786	0.1093901858
787	0.109360331
788	0.1093383499
789	0.1092694741
790	0.1092094169
791	0.1091864688
792	0.1091303836
793	0.1090728994
794	0.1090401581
795	0.1090170736
796	0.1089952771
797	0.1089481033
798	0.1088731456
799	0.1088118985
800	0.1087570507
801	0.1087065274
802	0.1086441483
803	0.1085598048
804	0.1085234497
805	0.1084916994
806	0.1084687336
807	0.1084393476
808	0.1083687969
809	0.1083048984
810	0.1082839464
811	0.108250312
812	0.1082286819
813	0.1082060399
814	0.1081198044
815	0.1080710505
816	0.1080226804
817	0.1079725664
818	0.1079397851
819	0.1078807894
820	0.1078592675
821	0.1078207289
822	0.1077904111
823	0.1077386551
824	0.1076753865
825	0.1076530579
826	0.1076318071
827	0.1075737207
828	0.1075184875
829	0.1074972295
830	0.1074177826
831	0.1073955243
832	0.1073404967
833	0.1072871004
834	0.1072244691
835	0.1071864677
836	0.1071664851
837	0.1071018653
838	0.1070449707
839	0.1070160891
840	0.1069553283
841	0.106913819
842	0.1068927534
843	0.1068616679
844	0.1068408668
845	0.1067918885
846	0.1067278669
847	0.1067058149
848	0.1066793378
849	0.106625269
850	0.1066035174
851	0.1065816818
852	0.1065489228
853	0.106527359
854	0.1064673372
855	0.1064117018
856	0.1063814322
857	0.1063418939
858	0.1062964594
859	0.1062766524
860	0.1062300801
861	0.1061749059
862	0.1061153428
863	0.1060647419
864	0.1060322079
865	0.1060107094
866	0.1059429834
867	0.1059032927
868	0.1058817643
869	0.1058641428
870	0.1058434894
871	0.1057845796
872	0.1057181025
873	0.1056502883
874	0.1055939186
875	0.1055732537
876	0.1055474429
877	0.1055138322
878	0.1054386991
879	0.1054185179
880	0.1053404137
881	0.1053020503
882	0.1052327651
883	0.1051969794
884	0.1051646332
885	0.105104173
886	0.1050494474
887	0.1050090878
888	0.1049612284
889	0.1049428678
890	0.1048826827
891	0.1048256036
892	0.1047739244
893	0.104716456
894	0.1046966686
895	0.104633341
896	0.104604749
897	0.104553522
898	0.1044954125
899	0.1044744842
900	0.1044465827
901	0.1044121907
902	0.1043730568
903	0.1043432363
904	0.1042831885
905	0.1042144857
906	0.1041622518
907	0.1041330515
908	0.1040944723
909	0.1040772236
910	0.1040584322
911	0.1040309297
912	0.103977364
913	0.1039504525
914	0.1039205731
915	0.1038779479
916	0.1038141154
917	0.1037963815
918	0.103731373
919	0.1036813976
920	0.1036607936
921	0.1036417429
922	0.1036121596
923	0.1035474806
924	0.1035033821
925	0.1034452596
926	0.1034170334
927	0.1033993278
928	0.1033655685
929	0.1033197408
930	0.1032877085
931	0.1032539283
932	0.1032260207
933	0.1031775568
934	0.1031294759
935	0.103090963
936	0.1030596205
937	0.1030402368
938	0.1029831229
939	0.1029633159
940	0.1029457431
941	0.102897283
942	0.1028210106
943	0.1027687112
944	0.1027401986
945	0.1027134471
946	0.1026885906
947	0.1026408272
948	0.1025834683
949	0.1025567467
950	0.1025369742
951	0.1025167392
952	0.1024876454
953	0.1024675455
954	0.1024394808
955	0.1023815884
956	0.1023355143
957	0.1022942309
958	0.1022746925
959	0.1022263884
960	0.10216285
961	0.1021086035
962	0.1020886499
963	0.1020619241
964	0.1019689361
965	0.1019161707
966	0.1018964263
967	0.1018451809
968	0.1018077007
969	0.1017604806
970	0.1017415582
971	0.1017224586
972	0.1016762493
973	0.1016243744
974	0.1016057574
975	0.1015787698
976	0.1015056605
977	0.1014711547
978	0.1014339295
979	0.1013787002
980	0.101334712
981	0.1012870374
982	0.101268734
983	0.1012401384
984	0.1011992332
985	0.1011440938
986	0.1010861328
987	0.1010591283
988	0.101039508
989	0.100989618
990	0.1009483163
991	0.1008927525
992	0.1008653817
993	0.1008458109
994	0.1008159476
995	0.100796503
996	0.1007779059
997	0.1007429614
998	0.1007245466
999	0.1006723791
